TglDN,InvSys,NmNPWP,NoNPWP,AddNPWP,Barcode,NmBrg,Qty,Harga,Disc1,PPN,Total
6/9/2022 10:11,22005403579,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999055769,FAIR & LOVELY G&L MVIT FC FOAM 24X50G,12,13124.33,2435.2195,17056.2415,172112.982
6/9/2022 10:14,22005403575,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999557041,ROYCO MUSHROOM 24X170G,24,15000,5566.5,38987.685,393421.185
6/2/2022 10:12,22005403366,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999528850,CITRA HBL BENGKOANG NAT GLOW UV 6X6X60ML,12,6344.14,1177.1551,8244.7777,83197.3026
6/2/2022 10:26,22005403353,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999571467,WIPOL DISINFECTANT SPRAY PCH 24X450ML,48,7550.46,5603.9514,39249.9941,396068.1227
6/2/2022 10:14,22005403363,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999037154,DOVE CON PERAWATAN RONTOK 18X160ML,36,25409.89,14144.4152,99067.2787,999678.9035
6/2/2022 10:28,22005403351,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,"8999999567781
",RINSO PRO DTV LIQ 3X4500ML,6,61100,5668.5525,39702.4592,400633.9067
6/9/2022 10:16,22005403573,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,"8999999567781
",RINSO PRO DTV LIQ 3X4500ML,18,61100,17005.6575,119107.3777,1201901.72
6/2/2022 10:18,22005403361,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8992694248139,ZWITSAL BB NAT MINYAK TELON 4X6X100ML,12,28738.75,5332.4751,37348.5777,376881.1026
6/2/2022 10:14,22005403363,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999037192,DOVE CON PERAWATAN RAMBUT RUSAK 18X160ML,18,25409.89,7072.2077,49533.6394,499839.4517
6/9/2022 10:05,22005403586,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999059927,PONDS AM DAY + EYE CRM 12X(50+3)G,12,127998.17,23750.0604,166345.0778,1678573.057
6/9/2022 10:07,22005403584,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999552527,ZWITSAL KIDS BB CLN & FRSH BLUE 12X280ML,12,20495.5,3802.94,26635.7366,268778.7966
6/2/2022 10:12,22005403366,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999055714,BUAVITA GUAVA WD 12X1000ML,36,21171.17,11784.9318,82541.4907,832918.6789
6/2/2022 10:12,22005403366,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999027056,LIFEBUOY SHP ANTI KTMBE 12+1 (480+40)X9ML,960,360.36,5349.1838,37465.6058,378062.022
6/2/2022 10:12,22005403366,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,"8999999407858
",WIPOL KARBOL LEMON PCH NEW 12X750ML,120,18650.42,34605.8543,242378.9,2445823.446
6/9/2022 10:14,22005403576,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999552442,FAIR & LOVELY G&L MS SHEET MASK 2X12X20G,72,6818,7590.4794,53163.6073,536469.1279
6/9/2022 10:02,22005403587,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,"8999999520885
",WIPOL KARBOL CEMARA REFILL 24X410ML,96,7670.25,11385.7191,79745.4109,804703.6918
6/9/2022 10:02,22005403587,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999001216,LIFEBUOY BW COOLFRESH BTL 36X100ML,12,12306.31,2283.4359,15993.1513,161385.4354
6/9/2022 10:02,22005403587,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999549480,SUNLIGHT LIME CREAM SCH 24X270GR,72,4054.04,4513.3627,31611.5269,318989.0442
6/2/2022 10:28,22005403351,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,"8999999583163
",LUX BW HIJAB OLIVE HONEY KR 24X400ML,18,24972.96,6950.5991,48681.8949,491244.5758
6/4/2022 9:48,22005403432,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,"8999999049508
",REXONA SHOWER CLEAN RO 4X6X45ML,24,14700,5455.17,38207.9313,385552.7613
